SUMMARY OF GPS VELOCITIES

This file gives the GPS velocities used and the fits for the model in which permanent strain rates are
allowed in 8 of the blocks.
  
* in first column indicates velocity not used in solution
SITE = Site code
SRCE = Velocity source code (see Table 1)
BLCK = Block code (see Table 3) 
POLE = Pole this site constrains
Longit. = Longitude of site
Latit. = Latitude of site
Ve = East velocity from original source
Vn = North velocity from original source
Se = East velocity sigma from original source
Sn = North velocity sigma from original source
Sne = North-East correlation from original source
Enet = East reference frame adjustment 
Nnet = North reference frame adjustment 
Eref = East velocity in NOAM reference frame
Nref = North velocity in NOAM reference frame
Eela = East velocity from elastic strain
Nela = North velocity from elastic strain
Erot = East velocity from block rotation
Nrot = North velocity from block rotation
Estr = East velocity from permanent strain rate
Nstr = North velocity from permanent strain rate
Eres = East residual velocity
Nres = North residual velocity
Vres = Total residual velocity
Vsig = Velocity uncertainty in direction of Vres
R/S = Vres / Vsig

 SITE     SRCE BLCK POLE  Longit.   Latit.     Ve     Vn     Se     Sn    Sne    Enet   Nnet   Eref   Nref   Eela   Nela   Erot   Nrot   Estr   Nstr   Eres   Nres   Vres   Vsig    R/S
 LAZY_GPS CMM3 MOJA PO11  243.486   34.344   -8.0   15.1    1.0    1.1 -0.0470    0.3   -0.1   -8.4   15.2   -0.3    1.5   -9.6   12.2   -0.9    0.3    2.4    1.2    2.6    1.0    2.6
*LBC1     WUSC WBAJ PO18  241.863   33.832  -18.7   30.4    1.1    1.1  0.0311    0.7   -0.1  -19.4   30.5    1.5   -2.4  -28.4   30.9    0.0    0.0    7.5    2.0    7.8    1.1    7.0
*LBC2     WUSC SANA PO08  241.827   33.792  -30.6   27.2    1.1    1.0 -0.0086    0.7   -0.1  -31.3   27.2    3.1   -3.0  -31.0   32.4    0.0    0.0   -3.4   -2.2    4.1    1.1    3.9
*LBCH     WUSC SANA PO08  241.797   33.788  -33.8   35.8    0.8    0.8 -0.1508    0.7   -0.1  -34.5   35.8    3.0   -2.9  -31.0   32.5    0.0    0.0   -6.5    6.2    9.0    0.9   10.5
*LBCH_GPS CMM3 SANA PO08  241.797   33.788  -31.0   29.4    0.9    0.9 -0.0620    0.3    0.0  -31.3   29.4    3.0   -2.9  -31.0   32.5    0.0    0.0   -3.3   -0.2    3.3    0.9    3.8
 LDES     WUSC EMOJ PO26  243.567   34.267   -2.9    8.1    2.7    2.6  0.0559    0.7   -0.1   -3.6    8.2   -1.0    3.8   -6.6    4.0    0.0    0.0    4.0    0.4    4.0    2.7    1.5
 LDES_GPS CMM3 EMOJ PO26  243.567   34.267   -4.9    8.7    1.8    1.8 -0.0160    0.3   -0.1   -5.3    8.7   -1.0    3.7   -6.6    4.0    0.0    0.0    2.3    0.9    2.5    1.7    1.4
 LEEF     MC01 INYO PO24  242.388   36.497   -3.9    4.2    0.9    0.9 -0.0390    1.9   -0.9   -5.8    5.1   -1.3    1.0   -5.4    4.2    0.0    0.0    0.9   -0.1    0.9    0.9    1.0
 LEEF     RB03 INYO PO24  242.388   36.497   -5.6    4.8    1.4    1.5 -0.0899    0.2   -0.3   -5.8    5.2   -1.3    1.0   -5.4    4.2    0.0    0.0    0.9   -0.1    0.9    1.4    0.7
 LEEF     WUSC INYO PO24  242.388   36.497   -6.3    4.7    1.6    1.8 -0.0900    0.7   -0.1   -7.0    4.8   -1.3    1.0   -5.4    4.2    0.0    0.0   -0.4   -0.5    0.6    1.6    0.4
 LEEP     ITRF VENT PO19  241.678   34.134  -37.9   12.7    0.9    0.9 -0.4018  -11.3  -12.7  -26.6   25.4    1.5   -1.8  -29.8   30.7    1.5   -1.9    0.2   -1.6    1.6    0.9    1.7
 LEEP     WUSC VENT PO19  241.678   34.135  -26.3   25.9    0.8    0.8 -0.1565    0.7   -0.1  -27.0   25.9    1.5   -1.8  -29.8   30.7    1.5   -1.9   -0.3   -1.1    1.1    0.8    1.4
 LEEP_GPS CMM3 VENT PO19  241.678   34.135  -26.9   25.4    0.9    0.9 -0.0590    0.3    0.0  -27.2   25.5    1.5   -1.8  -29.8   30.7    1.5   -1.9   -0.5   -1.5    1.6    0.9    1.8
 LEMO_GPS CMM3 WBAJ PO18  242.215   33.824  -26.7   28.5    1.9    2.4  0.0010    0.3   -0.1  -27.0   28.5    2.3   -3.2  -28.3   30.5    0.0    0.0   -1.0    1.2    1.6    2.2    0.7
 LEWI     BARD EBNR PO13  243.138   40.404    0.0   -0.5    0.9    0.9 -0.0010    2.8   -0.7   -2.8    0.2   -0.2    0.4   -3.6    0.5    0.0    0.0    1.0   -0.7    1.2    0.9    1.4
 LEWI     RB03 EBNR PO13  243.138   40.404   -2.1   -0.7    0.5    0.5  0.0080    0.1   -0.3   -2.2   -0.3   -0.2    0.4   -3.6    0.5    0.0    0.0    1.6   -1.2    2.0    0.5    4.0
 LEWI     WUSC EBNR PO13  243.138   40.404   -2.2   -0.2    0.8    0.8 -0.0725    0.6   -0.1   -2.8   -0.2   -0.2    0.4   -3.6    0.5    0.0    0.0    1.0   -1.1    1.4    0.8    1.7
*LFRS     WUSC VENT PO19  241.587   34.095  -36.5   26.9    3.5    3.2  0.0902    0.7   -0.1  -37.1   26.9    1.1   -0.9  -29.9   30.8    1.6   -1.4   -9.9   -1.6   10.0    3.5    2.8
 LFRS_GPS CMM3 VENT PO19  241.587   34.095  -28.3   25.9    1.1    1.1 -0.0400    0.3    0.0  -28.6   25.9    1.1   -0.9  -29.9   30.8    1.6   -1.4   -1.4   -2.5    2.9    1.1    2.7
 LGO7_GPS CMM3 SALI PO16  240.240   35.036  -25.5   25.4    0.9    0.9 -0.0440    0.3    0.0  -25.8   25.5    4.0   -4.8  -32.2   32.9    2.1   -1.7    0.2   -1.0    1.0    0.9    1.1
 LIMP_GPS CMM3 ANZA PO23  242.451   33.975  -23.6   25.6    1.1    1.1 -0.1020    0.3   -0.1  -23.9   25.7    3.0   -5.0  -26.5   30.8   -0.3   -1.2   -0.1    1.0    1.0    1.2    0.9
 LIND     RB03 SNEV PO04  240.942   36.360  -11.0   10.9    1.0    0.9  0.1057    0.2   -0.3  -11.2   11.2    0.4    1.6  -11.2    7.4    0.0    0.0   -0.4    2.2    2.2    0.9    2.6
*LIND     WUSC SNEV PO04  240.942   36.360   -7.2    8.3    4.1    3.5  0.0966    0.7   -0.1   -7.9    8.4    0.4    1.6  -11.2    7.4    0.0    0.0    3.0   -0.6    3.0    4.1    0.7
 LINJ     WUSC MOJA PO11  241.861   34.662  -13.6   17.3    0.8    0.8 -0.0116    0.7   -0.1  -14.3   17.4   -6.3    7.2   -9.9   11.6    0.2   -0.8    1.7   -0.6    1.8    0.8    2.2
 LINJ_GPS CMM3 MOJA PO11  241.861   34.662  -15.2   18.5    0.9    1.0 -0.0460    0.3    0.0  -15.6   18.6   -6.3    7.2   -9.9   11.6    0.2   -0.8    0.3    0.6    0.7    0.9    0.7
 LITT     RB03 EBNR PO13  243.692   36.746   -3.5    0.0    0.9    0.8  0.0978    0.2   -0.3   -3.7    0.4   -0.4    0.8   -2.7    0.6    0.0    0.0   -0.6   -1.0    1.2    0.9    1.4
*LITT     WUSC EBNR PO13  243.692   36.746   -5.8   -0.8    2.0    2.0  0.0366    0.7   -0.1   -6.5   -0.7   -0.4    0.8   -2.7    0.6    0.0    0.0   -3.3   -2.1    3.9    2.0    1.9
 LLAS_GPS CMM3 MOJA PO11  242.162   34.586  -16.6   17.0    1.1    1.1 -0.0330    0.3   -0.1  -16.9   17.1   -5.0    6.4   -9.8   11.7    0.0   -0.6   -2.1   -0.4    2.1    1.1    2.0
 LLCO     WUSC CATA PO05  243.839   31.257  -29.1   30.5    1.3    1.3 -0.0041    0.7   -0.1  -29.8   30.6   -0.2   -2.4  -30.4   35.0    0.0    0.0    0.8   -2.1    2.2    1.3    1.7
 LLCO_GPS CMM3 CATA PO05  243.839   31.257  -30.9   31.4    0.9    0.9 -0.0650    0.3   -0.1  -31.3   31.5   -0.2   -2.4  -30.4   35.0    0.0    0.0   -0.7   -1.2    1.4    0.9    1.5
 LM28_EDM CMM3 WBAJ PO18  242.253   33.765  -27.1   27.6    1.1    1.1 -0.0620    0.3   -0.1  -27.4   27.6    2.2   -2.9  -28.4   30.4    0.0    0.0   -1.2    0.0    1.2    1.2    1.1
 LMNO     RB03 NOAM PO01  262.519   36.685    0.1    1.5    0.5    0.5  0.0178    0.1   -0.1    0.0    1.7    0.0    0.0    0.0    0.0    0.0    0.0    0.0    1.7    1.7    0.5    3.3
*LMNO     WUSC NOAM PO01  262.519   36.685    1.2    0.6    0.8    0.8  0.0066    0.7    0.0    0.6    0.6    0.0    0.0    0.0    0.0    0.0    0.0    0.6    0.6    0.8    0.8    1.0
 LODO     JF99 SNEV PO04  237.508   39.301   13.6  -33.6    3.6    2.5 -0.2369   24.1  -43.1  -10.5    9.5   -0.7    0.9   -9.4    9.0    0.0    0.0   -0.4   -0.4    0.6    2.8    0.2
 LOKT_EDM CMM3 SALT PO12  243.426   33.553  -17.9   21.1    0.9    1.0 -0.0080    0.3   -0.1  -18.3   21.2   -2.7   -0.6  -16.3   22.2    1.2    0.2   -0.4   -0.6    0.7    1.0    0.7
 LOKT_GPS CMM3 SALT PO12  243.426   33.553  -18.1   21.8    0.9    0.9 -0.0520    0.3   -0.1  -18.5   21.8   -2.7   -0.6  -16.3   22.2    1.2    0.2   -0.6    0.1    0.6    0.9    0.7
 LONG     ITRF ANZA PO23  241.997   34.112  -39.0   11.3    1.1    1.0 -0.4089  -11.3  -12.6  -27.7   23.9    1.6   -4.6  -26.5   31.1   -0.6   -1.6   -2.2   -1.1    2.4    0.9    2.7
 LONG     WUSC ANZA PO23  241.997   34.112  -25.4   25.7    0.8    0.8 -0.1527    0.7   -0.1  -26.1   25.8    1.6   -4.6  -26.5   31.1   -0.6   -1.6   -0.7    0.8    1.1    0.9    1.2
 LONG_GPS CMM3 ANZA PO23  241.997   34.112  -26.5   24.4    0.9    0.9 -0.0590    0.3   -0.1  -26.8   24.5    1.6   -4.6  -26.5   31.1   -0.6   -1.6   -1.4   -0.5    1.4    0.9    1.7
 LORS_GPS CMM3 SGAB PO10  242.246   34.133  -24.0   22.9    1.1    1.1 -0.0350    0.3   -0.1  -24.3   23.0    5.0   -1.7  -29.4   26.0   -0.4   -1.6    0.5    0.2    0.5    1.1    0.5
 LOSA     DXB2 CATA PO05  243.700   31.460  -27.6   31.6    3.1    1.1  0.0000    0.0   -0.4  -27.6   32.0   -0.5   -3.3  -30.3   35.1    0.0    0.0    3.2    0.2    3.2    3.1    1.0
 LOSP     WUSC SALI PO16  239.394   34.894  -30.3   32.8    2.4    2.1  0.0404    0.7   -0.1  -31.0   32.9    1.9    2.0  -32.8   34.2    0.4   -1.8   -0.5   -1.5    1.6    2.2    0.8
 LOSP_GPS CMM3 SALI PO16  239.394   34.894  -30.5   35.0    1.0    1.0 -0.0420    0.3    0.0  -30.8   35.0    1.9    2.0  -32.8   34.2    0.4   -1.8   -0.4    0.6    0.7    1.0    0.7
 LOVE     WUSC VENT PO19  241.331   34.496  -23.4   23.0    3.3    2.4 -0.0491    0.7   -0.1  -24.1   23.0    3.3   -5.1  -29.3   31.1   -0.1   -3.0    2.0    0.1    2.0    3.3    0.6
 LOVE_GPS CMM3 VENT PO19  241.331   34.496  -24.0   21.2    1.0    1.0 -0.0670    0.3    0.0  -24.4   21.3    3.3   -5.1  -29.3   31.1   -0.1   -3.0    1.7   -1.7    2.4    1.0    2.4
*LPHS     WUSC WBAJ PO18  242.043   34.027  -25.1   30.0    0.9    0.9  0.0086    0.7   -0.1  -25.8   30.1    2.4   -4.8  -28.0   30.7    0.0    0.0   -0.2    4.2    4.2    0.9    4.4
 LPHS_GPS CMM3 WBAJ PO18  242.043   34.027  -28.2   28.2    1.0    1.0 -0.0470    0.3   -0.1  -28.5   28.2    2.4   -4.8  -28.0   30.7    0.0    0.0   -2.9    2.3    3.8    1.0    3.7
 LPUR     WUSC ANZA PO23  244.657   32.356  -17.3   27.7    1.2    1.2  0.0135    0.7   -0.1  -18.0   27.8    7.0   -4.1  -27.6   29.3    0.4    2.0    2.3    0.5    2.3    1.2    1.9
 LPUR_GPS CMM3 ANZA PO23  244.657   32.356  -18.7   27.0    0.9    0.9 -0.0580    0.3   -0.1  -19.0   27.1    7.0   -4.1  -27.6   29.3    0.4    2.0    1.3   -0.2    1.3    0.9    1.4
 LTEJ_EDM CMM3 MOJA PO11  241.197   34.801  -19.7   19.1    0.9    0.9  0.0680    0.3    0.0  -20.0   19.1  -10.2    9.6  -10.0   11.4    0.7   -1.2   -0.5   -0.6    0.8    1.0    0.8
 LTEJ_GPS CMM3 MOJA PO11  241.197   34.800  -19.4   18.5    0.9    0.9 -0.0350    0.3    0.0  -19.8   18.6  -10.2    9.6  -10.0   11.4    0.7   -1.2   -0.2   -1.1    1.2    0.9    1.2
 LUC2_GPS CMM3 MOJA PO11  243.118   34.439  -15.2   14.7    1.6    1.4 -0.0060    0.3   -0.1  -15.6   14.8   -1.7    1.8   -9.7   12.1   -0.6    0.1   -3.6    0.8    3.7    1.6    2.3
 LUTZ     BARD WCCR PO17  238.135   37.287  -17.7   24.4    1.4    1.4  0.0030    2.2    0.2  -19.9   24.3   -1.8    1.3  -17.1   21.6    0.0    0.0   -1.0    1.4    1.7    1.4    1.2
 LUTZ     WUSC WCCR PO17  238.135   37.287  -20.3   24.2    4.6    4.2  0.0817    0.7   -0.1  -21.0   24.3   -1.8    1.3  -17.1   21.6    0.0    0.0   -2.1    1.4    2.5    4.3    0.6
 LVMS_GPS CMM3 VENT PO19  240.896   34.734  -24.2   20.6    1.1    1.2 -0.0320    0.3    0.0  -24.6   20.6    5.0   -7.1  -29.1   31.5   -1.4   -3.1    0.8   -0.7    1.0    1.2    0.9
 M137     MC01 INYO PO24  242.700   36.349   -3.8    5.4    0.9    1.0  0.1420    1.9   -0.8   -5.8    6.2   -0.2    0.6   -5.5    3.9    0.0    0.0    0.0    1.7    1.7    1.0    1.7
 M137_GPS CMM3 INYO PO24  242.700   36.349   -4.5    6.3    1.2    1.3  0.0370    0.3   -0.1   -4.8    6.3   -0.2    0.6   -5.5    3.9    0.0    0.0    1.0    1.8    2.1    1.3    1.6
 M586_GPS CMM3 ANZA PO23  243.311   33.555  -20.1   25.1    1.1    1.2 -0.0540    0.3   -0.1  -20.5   25.2    5.1   -5.2  -26.7   30.2    0.1   -0.2    1.0    0.3    1.0    1.1    0.9
 MADC     WUSC SALI PO16  239.933   35.076  -26.8   29.0    2.5    2.2  0.0359    0.7   -0.1  -27.5   29.0    2.8   -1.9  -32.2   33.4    1.5   -1.5    0.5   -0.9    1.0    2.3    0.4
 MADC_EDM CMM3 SALI PO16  239.933   35.076  -27.9   30.2    1.2    1.1 -0.0840    0.3    0.0  -28.2   30.2    2.8   -1.9  -32.2   33.4    1.5   -1.5   -0.2    0.3    0.4    1.2    0.3
 MADC_GPS CMM3 SALI PO16  239.933   35.076  -27.2   30.3    0.9    0.9 -0.0530    0.3    0.0  -27.5   30.4    2.8   -1.9  -32.2   33.4    1.5   -1.5    0.4    0.4    0.6    0.9    0.7
 MADU_EDM CMM3 SALI PO16  240.409   34.691  -29.4   30.2    1.0    1.2 -0.1990    0.3    0.0  -29.7   30.2    1.2   -2.7  -32.9   32.7    2.5   -2.5   -0.6    2.8    2.8    1.2    2.2
*MAG0     ITRF NOAM PO01  150.770   59.575   13.4  -24.5    1.0    1.3  0.1414   10.4  -17.7    3.0   -6.8    0.0    0.0    0.0    0.0    0.0    0.0    3.0   -6.8    7.4    1.2    6.2
 MAGI_GPS CMM3 SGAB PO10  241.682   34.386  -24.9   22.6    1.2    1.3  0.0110    0.3    0.0  -25.2   22.6    3.8   -3.8  -29.2   26.6   -0.2   -0.6    0.4    0.4    0.5    1.3    0.4
 MAND_GPS CMM3 VENT PO19  241.502   34.090  -28.4   29.9    1.1    1.2 -0.0150    0.3    0.0  -28.7   29.9    1.1   -0.7  -29.9   30.9    1.5   -1.1   -1.4    0.9    1.7    1.1    1.5
 MARC     BEAV PACI PO02  153.978   24.290  -72.3   21.8    0.8    0.7  0.0000    2.6  -18.3  -74.9   40.1    0.0    0.0  -73.6   41.4    0.0    0.0   -1.3   -1.3    1.8    0.7    2.4
 MARP     WUSC NOAM PO01  282.769   38.374   -0.5   -0.2    0.8    1.0  0.0674    0.6    0.0   -1.1   -0.2    0.0    0.0    0.0    0.0    0.0    0.0   -1.1   -0.2    1.1    0.8    1.4
 MARZ_EDM CMM3 SALT PO12  243.809   33.524  -12.7   16.2    1.0    1.0  0.0400    0.3   -0.1  -13.1   16.3    0.8   -4.4  -16.2   22.1    1.5   -1.3    0.9   -0.1    0.9    1.0    0.9
 MASO_EDM CMM3 SALI PO16  239.557   35.833  -23.2   30.1    0.8    0.9 -0.0330    0.3    0.0  -23.5   30.2    6.6   -4.4  -30.6   34.0    0.5    0.3    0.0    0.3    0.3    0.9    0.4
 MASO_GPS CMM3 SALI PO16  239.557   35.833  -22.6   30.4    0.8    0.9 -0.0530    0.3    0.0  -23.0   30.5    6.6   -4.4  -30.6   34.0    0.5    0.3    0.6    0.6    0.8    0.8    1.0
 MATH     ITRF ANZA PO23  242.563   33.856  -34.5   13.5    0.8    0.8 -0.3941  -11.3  -12.4  -23.2   25.9    2.7   -4.0  -26.6   30.7   -0.3   -1.0    1.0    0.2    1.0    0.7    1.3
 MATH     WUSC ANZA PO23  242.563   33.857  -23.4   26.4    0.8    0.8 -0.0943    0.7   -0.1  -24.1   26.4    2.7   -4.0  -26.6   30.7   -0.3   -1.0    0.1    0.7    0.7    0.8    0.8
 MATH_GPS CMM3 ANZA PO23  242.563   33.857  -23.1   25.5    0.8    0.8 -0.0660    0.3   -0.1  -23.5   25.6    2.7   -4.0  -26.6   30.7   -0.3   -1.0    0.7   -0.2    0.7    0.8    0.8
 MAWY     WUSC NOAM PO01  249.311   44.973    5.5    3.4    3.4    2.6  0.1021    0.6    0.0    5.0    3.4    0.0    0.1    0.0    0.0    0.0    0.0    5.0    3.4    6.0    3.3    1.8
 MAYO     WUSC EBAJ PO21  244.757   31.988  -23.4   26.9    1.3    1.2  0.0117    0.7   -0.1  -24.2   27.0    2.7   -3.7  -28.3   31.4    0.0    0.0    1.5   -0.7    1.6    1.3    1.3
 MAYO_EDM CMM3 VENT PO19  241.570   34.352  -24.7   22.5    1.1    1.1 -0.0910    0.3    0.0  -25.0   22.5    2.6   -4.2  -29.5   30.8    0.6   -2.9    1.2   -1.3    1.8    1.1    1.5
 MAYO_GPS CMM3 VENT PO19  241.570   34.352  -24.6   22.7    1.4    1.4 -0.0450    0.3    0.0  -25.0   22.8    2.6   -4.2  -29.5   30.8    0.6   -2.9    1.3   -1.0    1.7    1.4    1.2
 MAYR_GPS CMM3 EBAJ PO21  244.757   31.988  -24.0   26.9    1.2    1.1  0.0930    0.3   -0.1  -24.4   27.0    2.7   -3.7  -28.3   31.4    0.0    0.0    1.3   -0.7    1.4    1.1    1.3
 MBWW     RB03 NOAM PO01  253.813   41.904    2.5   -0.3    2.2    1.7  0.0220    0.1   -0.2    2.4   -0.1   -0.1    0.0    0.0    0.0    0.0    0.0    2.5   -0.1    2.5    2.2    1.1
*MBWW     WUSC NOAM PO01  253.813   41.904    3.6   -0.8    2.2    1.8  0.0185    0.6    0.0    3.0   -0.7   -0.1    0.0    0.0    0.0    0.0    0.0    3.0   -0.8    3.1    2.2    1.4
 MCDS_GPS CMM3 VENT PO19  241.457   34.202  -25.9   30.0    1.0    1.0 -0.0430    0.3    0.0  -26.2   30.1    1.5   -1.8  -29.7   31.0    1.1   -1.7    1.0    2.6    2.8    1.0    2.8
 MCKT_EDM CMM3 GVTB PO03  240.236   35.291  -19.4   20.9    1.4    1.1  0.0710    0.3    0.0  -19.7   20.9   -9.0   12.3  -12.8    9.0    3.4    0.2   -1.3   -0.5    1.5    1.4    1.1
 MDAY     MC01 MOJA PO11  242.294   34.743  -11.0   13.5    0.6    0.6 -0.0320    2.3   -0.9  -13.2   14.4   -2.3    3.3   -9.9   11.8    0.1   -0.1   -1.2   -0.6    1.4    0.6    2.4
 MDAY_GLA CMM3 MOJA PO11  242.294   34.743  -12.6   15.6    0.9    1.0 -0.0450    0.3   -0.1  -12.9   15.6   -2.3    3.3   -9.9   11.8    0.1   -0.1   -0.9    0.7    1.2    1.0    1.2
 MDAY_GPS CMM3 MOJA PO11  242.294   34.743  -10.2   15.1    1.4    1.2 -0.1000    0.3   -0.1  -10.5   15.1   -2.3    3.3   -9.9   11.8    0.1   -0.1    1.5    0.2    1.5    1.3    1.1
 MDO1     BEAV NOAM PO01  255.985   30.680  -12.3   -7.1    0.5    0.4  0.0000  -12.2   -7.1   -0.1    0.0    0.0    0.0    0.0    0.0    0.0    0.0   -0.1    0.0    0.1    0.5    0.2
 MDO1     ITRF NOAM PO01  255.985   30.680  -12.1   -7.2    0.5    0.5 -0.1974  -11.8   -7.9   -0.3    0.7    0.0    0.0    0.0    0.0    0.0    0.0   -0.3    0.7    0.8    0.5    1.4
 MDO1     RB03 NOAM PO01  255.985   30.681   -0.3    0.5    0.5    0.5 -0.0404    0.2   -0.2   -0.6    0.7    0.0    0.0    0.0    0.0    0.0    0.0   -0.6    0.7    0.9    0.5    1.8
 MDO1     WUSC NOAM PO01  255.985   30.681   -0.2    0.7    0.8    0.8 -0.1954    0.7    0.0   -0.9    0.8    0.0    0.0    0.0    0.0    0.0    0.0   -0.9    0.8    1.2    0.9    1.4
 MDO1_GPS CMM3 NOAM PO01  255.985   30.680   -0.2    0.4    0.6    0.6 -0.0460    0.3   -0.1   -0.5    0.5    0.0    0.0    0.0    0.0    0.0    0.0   -0.5    0.5    0.7    0.6    1.1
 MECC_EDM CMM3 SMOJ PO01  243.970   33.634   -8.7   10.7    1.0    1.1 -0.0220    0.3   -0.1   -9.1   10.7   -8.2    9.3    0.0    0.0    0.0    0.0   -0.9    1.4    1.7    1.0    1.6
*MEEK_EDM CMM3 MOJA PO11  243.383   34.258   -7.9   10.4    3.2    2.9  0.6670    0.3   -0.1   -8.2   10.5   -1.2    3.0   -9.6   12.2   -1.0    0.0    3.5   -4.6    5.8    1.8    3.3
*MEEK_GPS CMM3 MOJA PO11  243.383   34.258   -4.8   21.5    2.2    2.3  0.0080    0.3   -0.1   -5.1   21.5   -1.2    3.0   -9.6   12.2   -1.0    0.0    6.6    6.4    9.2    2.2    4.1
 MELR     DXB2 CATA PO05  244.260   30.980  -32.1   31.1    1.1    1.4  0.0000    0.1   -0.3  -32.2   31.4    0.0   -1.8  -30.4   34.9    0.0    0.0   -1.8   -1.7    2.5    1.3    2.0
*MELV_EDM CMM3 GVTB PO03  239.625   35.870  -19.2   22.4    1.3    1.2 -0.1540    0.3    0.0  -19.6   22.4   -4.9    9.5  -11.5   10.1    1.3    0.0   -4.5    2.8    5.3    1.4    3.8
 MEM2     ITRF NOAM PO01  269.794   35.465  -17.2   -1.4    1.3    1.4 -0.0039  -13.9   -2.8   -3.3    1.4    0.0    0.0    0.0    0.0    0.0    0.0   -3.3    1.4    3.6    1.3    2.7
 MENI_EDM CMM3 ANZA PO23  242.771   33.718  -24.4   25.7    1.0    1.3  0.0510    0.3   -0.1  -24.7   25.7    2.8   -3.4  -26.7   30.6   -0.2   -0.7   -0.7   -0.8    1.0    1.2    0.8
 MERC     RB03 EBNR PO13  244.021   36.633   -3.1    0.5    0.9    0.8  0.1032    0.2   -0.3   -3.3    0.9   -0.4    0.6   -2.7    0.7    0.0    0.0   -0.3   -0.4    0.5    0.9    0.6
 MESQ_EDM CMM3 EMOJ PO26  243.887   34.193   -2.0    7.2    2.9    1.6 -0.4680    0.3   -0.1   -2.4    7.2    1.1    2.2   -6.7    3.8    0.0    0.0    3.3    1.3    3.5    2.4    1.4
 METZ     WUSC ANZA PO23  242.768   33.796  -21.4   24.6    1.7    1.8  0.0469    0.7   -0.1  -22.1   24.6    3.4   -4.0  -26.6   30.6   -0.2   -0.8    1.2   -1.2    1.7    1.7    1.0
 METZ_GLA CMM3 ANZA PO23  242.768   33.796  -22.3   25.5    1.2    1.1 -0.0420    0.3   -0.1  -22.6   25.5    3.4   -4.0  -26.6   30.6   -0.2   -0.8    0.7   -0.3    0.7    1.2    0.6
 MHCB     RB03 GVTB PO03  238.357   37.342  -12.0   11.5    0.7    0.7  0.0337    0.2   -0.4  -12.2   11.9   -1.2    1.0   -8.1   12.4   -3.1   -0.2    0.2   -1.3    1.3    0.7    1.8
 MHCB     WUSC GVTB PO03  238.357   37.342  -11.2   12.2    1.1    1.0 -0.0155    0.7   -0.1  -11.9   12.3   -1.2    1.0   -8.1   12.4   -3.1   -0.2    0.5   -0.9    1.0    1.0    1.0
 MHMS_GPS CMM3 WBAJ PO18  241.756   33.939  -26.2   25.8    1.3    1.3 -0.0380    0.3    0.0  -26.5   25.8    1.7   -3.1  -28.3   31.0    0.0    0.0    0.1   -2.0    2.0    1.3    1.6
 MICR_EDM CMM3 ANZA PO23  242.809   33.874  -22.9   24.5    1.1    1.3 -0.0760    0.3   -0.1  -23.3   24.6    4.5   -5.0  -26.5   30.6   -0.1   -0.8   -1.2   -0.2    1.2    1.1    1.1
 MID__EDM CMM3 SALI PO16  239.479   35.920  -22.2   30.1    0.9    1.2 -0.0590    0.3    0.0  -22.5   30.1    6.3   -3.3  -30.4   34.1    0.3    0.5    1.3   -1.2    1.8    1.1    1.6
 MIDA_GPS CMM3 GVTB PO03  239.541   35.922  -11.6   21.0    1.2    1.2 -0.0340    0.3    0.0  -11.9   21.0   -6.0   11.1  -11.4   10.2    1.0    0.0    4.4   -0.3    4.5    1.2    3.8
 MIDE_GPS CMM3 SALI PO16  239.502   35.950  -22.6   26.1    0.9    0.9 -0.0590    0.3    0.0  -23.0   26.1    8.9   -6.9  -30.3   34.1    0.3    0.6   -1.8   -1.6    2.4    0.9    2.8
 MIL1     ITRF NOAM PO01  272.112   43.002  -15.9   -1.2    1.3    1.4  0.0378  -16.0   -1.9    0.1    0.7    0.0    0.0    0.0    0.0    0.0    0.0    0.1    0.7    0.7    1.4    0.5
 MILE     MC01 EBNR PO13  243.531   36.838   -1.8    0.2    0.8    0.8 -0.0150    1.8   -0.7   -3.6    0.9   -0.5    0.8   -2.7    0.6    0.0    0.0   -0.4   -0.5    0.7    0.8    0.8
 MILE_GPS CMM3 EBNR PO13  243.531   36.838   -3.2    1.1    0.9    0.9 -0.0420    0.3   -0.1   -3.5    1.2   -0.5    0.8   -2.7    0.6    0.0    0.0   -0.3   -0.2    0.4    0.9    0.4
 MILU_GLA CMM3 MOJA PO11  242.708   34.281  -17.1   18.6    0.9    1.0 -0.0500    0.3   -0.1  -17.5   18.7   -7.0    5.0   -9.7   11.9   -0.7   -0.7   -0.2    2.5    2.5    1.0    2.6
 MINE     BARD EBNR PO13  243.904   40.148    0.2    1.8    0.9    0.9 -0.0020    2.7   -0.9   -2.5    2.7   -0.1    0.3   -3.6    0.6    0.0    0.0    1.1    1.7    2.0    0.9    2.3
 MINE     RB03 EBNR PO13  243.904   40.148   -4.1    1.2    0.5    0.5 -0.0178    0.1   -0.3   -4.3    1.5   -0.1    0.3   -3.6    0.6    0.0    0.0   -0.7    0.6    0.9    0.5    1.8
 MINE     WUSC EBNR PO13  243.904   40.148   -4.3    1.2    0.8    0.8 -0.1067    0.6   -0.1   -4.9    1.3   -0.1    0.3   -3.6    0.6    0.0    0.0   -1.3    0.3    1.3    0.8    1.6
*MINS     WUSC WEBR PO20  240.939   37.654   -4.7    6.9    1.3    1.2 -0.0055    0.7   -0.1   -5.3    6.9   -1.1    1.7   -7.8    5.0    0.3    1.2    3.3   -0.9    3.4    1.3    2.6
